Epoch 0000 | 1 Batch Loss: -0.787 | Epoch Avg Loss: -0.731
Epoch 0001 | 1 Batch Loss: -0.887 | Epoch Avg Loss: -0.834
Epoch 0002 | 1 Batch Loss: -0.874 | Epoch Avg Loss: -0.887
Epoch 0003 | 1 Batch Loss: -0.916 | Epoch Avg Loss: -0.906
Epoch 0004 | 1 Batch Loss: -0.927 | Epoch Avg Loss: -0.917
Epoch 0005 | 1 Batch Loss: -0.908 | Epoch Avg Loss: -0.924
Epoch 0006 | 1 Batch Loss: -0.938 | Epoch Avg Loss: -0.926
Epoch 0007 | 1 Batch Loss: -0.944 | Epoch Avg Loss: -0.923
Epoch 0008 | 1 Batch Loss: -0.942 | Epoch Avg Loss: -0.930
Epoch 0009 | 1 Batch Loss: -0.932 | Epoch Avg Loss: -0.925
Epoch 0010 | 1 Batch Loss: -0.915 | Epoch Avg Loss: -0.911
Epoch 0011 | 1 Batch Loss: -0.905 | Epoch Avg Loss: -0.916
Epoch 0012 | 1 Batch Loss: -0.930 | Epoch Avg Loss: -0.917
Epoch 0013 | 1 Batch Loss: -0.925 | Epoch Avg Loss: -0.920
Epoch 0014 | 1 Batch Loss: -0.895 | Epoch Avg Loss: -0.916
Epoch 0015 | 1 Batch Loss: -0.923 | Epoch Avg Loss: -0.913
Epoch 0016 | 1 Batch Loss: -0.900 | Epoch Avg Loss: -0.910
Epoch 0017 | 1 Batch Loss: -0.903 | Epoch Avg Loss: -0.909
Epoch 0018 | 1 Batch Loss: -0.914 | Epoch Avg Loss: -0.908
Epoch 0019 | 1 Batch Loss: -0.893 | Epoch Avg Loss: -0.905
Epoch 0020 | 1 Batch Loss: -0.908 | Epoch Avg Loss: -0.906
Epoch 0021 | 1 Batch Loss: -0.910 | Epoch Avg Loss: -0.898
Epoch 0022 | 1 Batch Loss: -0.910 | Epoch Avg Loss: -0.893
Epoch 0023 | 1 Batch Loss: -0.902 | Epoch Avg Loss: -0.893
Epoch 0024 | 1 Batch Loss: -0.903 | Epoch Avg Loss: -0.895
Epoch 0025 | 1 Batch Loss: -0.881 | Epoch Avg Loss: -0.890
Epoch 0026 | 1 Batch Loss: -0.887 | Epoch Avg Loss: -0.885
Epoch 0027 | 1 Batch Loss: -0.866 | Epoch Avg Loss: -0.879
Epoch 0028 | 1 Batch Loss: -0.872 | Epoch Avg Loss: -0.875
Epoch 0029 | 1 Batch Loss: -0.871 | Epoch Avg Loss: -0.873
Epoch 0030 | 1 Batch Loss: -0.877 | Epoch Avg Loss: -0.872
Epoch 0031 | 1 Batch Loss: -0.844 | Epoch Avg Loss: -0.868
Epoch 0032 | 1 Batch Loss: -0.865 | Epoch Avg Loss: -0.869
Epoch 0033 | 1 Batch Loss: -0.874 | Epoch Avg Loss: -0.866
Epoch 0034 | 1 Batch Loss: -0.868 | Epoch Avg Loss: -0.865
Epoch 0035 | 1 Batch Loss: -0.866 | Epoch Avg Loss: -0.867
Epoch 0036 | 1 Batch Loss: -0.858 | Epoch Avg Loss: -0.867
Epoch 0037 | 1 Batch Loss: -0.880 | Epoch Avg Loss: -0.864
Epoch 0038 | 1 Batch Loss: -0.882 | Epoch Avg Loss: -0.865
Epoch 0039 | 1 Batch Loss: -0.867 | Epoch Avg Loss: -0.865
Epoch 0040 | 1 Batch Loss: -0.838 | Epoch Avg Loss: -0.865
Epoch 0041 | 1 Batch Loss: -0.886 | Epoch Avg Loss: -0.866
Epoch 0042 | 1 Batch Loss: -0.842 | Epoch Avg Loss: -0.865
Epoch 0043 | 1 Batch Loss: -0.887 | Epoch Avg Loss: -0.867
Epoch 0044 | 1 Batch Loss: -0.873 | Epoch Avg Loss: -0.870
Epoch 0045 | 1 Batch Loss: -0.846 | Epoch Avg Loss: -0.870
Epoch 0046 | 1 Batch Loss: -0.847 | Epoch Avg Loss: -0.871
Epoch 0047 | 1 Batch Loss: -0.877 | Epoch Avg Loss: -0.871
Epoch 0048 | 1 Batch Loss: -0.883 | Epoch Avg Loss: -0.873
Epoch 0049 | 1 Batch Loss: -0.889 | Epoch Avg Loss: -0.871
Epoch 0050 | 1 Batch Loss: -0.857 | Epoch Avg Loss: -0.872
Epoch 0051 | 1 Batch Loss: -0.879 | Epoch Avg Loss: -0.869
Epoch 0052 | 1 Batch Loss: -0.885 | Epoch Avg Loss: -0.872
Epoch 0053 | 1 Batch Loss: -0.851 | Epoch Avg Loss: -0.872
Epoch 0054 | 1 Batch Loss: -0.876 | Epoch Avg Loss: -0.875
Epoch 0055 | 1 Batch Loss: -0.866 | Epoch Avg Loss: -0.874
Epoch 0056 | 1 Batch Loss: -0.882 | Epoch Avg Loss: -0.873
Epoch 0057 | 1 Batch Loss: -0.884 | Epoch Avg Loss: -0.874
Epoch 0058 | 1 Batch Loss: -0.873 | Epoch Avg Loss: -0.871
Epoch 0059 | 1 Batch Loss: -0.873 | Epoch Avg Loss: -0.874
Epoch 0060 | 1 Batch Loss: -0.849 | Epoch Avg Loss: -0.874
Epoch 0061 | 1 Batch Loss: -0.860 | Epoch Avg Loss: -0.876
Epoch 0062 | 1 Batch Loss: -0.884 | Epoch Avg Loss: -0.875
Epoch 0063 | 1 Batch Loss: -0.858 | Epoch Avg Loss: -0.876
Epoch 0064 | 1 Batch Loss: -0.881 | Epoch Avg Loss: -0.874
Epoch 0065 | 1 Batch Loss: -0.885 | Epoch Avg Loss: -0.874
Epoch 0066 | 1 Batch Loss: -0.869 | Epoch Avg Loss: -0.875
Epoch 0067 | 1 Batch Loss: -0.871 | Epoch Avg Loss: -0.875
Epoch 0068 | 1 Batch Loss: -0.862 | Epoch Avg Loss: -0.876
Epoch 0069 | 1 Batch Loss: -0.878 | Epoch Avg Loss: -0.873
Epoch 0070 | 1 Batch Loss: -0.873 | Epoch Avg Loss: -0.877
Epoch 0071 | 1 Batch Loss: -0.884 | Epoch Avg Loss: -0.876
Epoch 0072 | 1 Batch Loss: -0.855 | Epoch Avg Loss: -0.873
Epoch 0073 | 1 Batch Loss: -0.886 | Epoch Avg Loss: -0.877
Epoch 0074 | 1 Batch Loss: -0.870 | Epoch Avg Loss: -0.877
Epoch 0075 | 1 Batch Loss: -0.872 | Epoch Avg Loss: -0.876
Epoch 0076 | 1 Batch Loss: -0.884 | Epoch Avg Loss: -0.878
Epoch 0077 | 1 Batch Loss: -0.877 | Epoch Avg Loss: -0.880
Epoch 0078 | 1 Batch Loss: -0.861 | Epoch Avg Loss: -0.878
Epoch 0079 | 1 Batch Loss: -0.850 | Epoch Avg Loss: -0.880
Epoch 0080 | 1 Batch Loss: -0.901 | Epoch Avg Loss: -0.879
Epoch 0081 | 1 Batch Loss: -0.889 | Epoch Avg Loss: -0.879
Epoch 0082 | 1 Batch Loss: -0.868 | Epoch Avg Loss: -0.880
Epoch 0083 | 1 Batch Loss: -0.866 | Epoch Avg Loss: -0.882
Epoch 0084 | 1 Batch Loss: -0.859 | Epoch Avg Loss: -0.881
Epoch 0085 | 1 Batch Loss: -0.893 | Epoch Avg Loss: -0.881
Epoch 0086 | 1 Batch Loss: -0.876 | Epoch Avg Loss: -0.879
Epoch 0087 | 1 Batch Loss: -0.862 | Epoch Avg Loss: -0.885
Epoch 0088 | 1 Batch Loss: -0.821 | Epoch Avg Loss: -0.881
Epoch 0089 | 1 Batch Loss: -0.884 | Epoch Avg Loss: -0.887
Epoch 0090 | 1 Batch Loss: -0.888 | Epoch Avg Loss: -0.881
Epoch 0091 | 1 Batch Loss: -0.874 | Epoch Avg Loss: -0.895
Epoch 0092 | 1 Batch Loss: -0.908 | Epoch Avg Loss: -0.894
Epoch 0093 | 1 Batch Loss: -0.924 | Epoch Avg Loss: -0.894
Epoch 0094 | 1 Batch Loss: -0.902 | Epoch Avg Loss: -0.895
Epoch 0095 | 1 Batch Loss: -0.887 | Epoch Avg Loss: -0.893
Epoch 0096 | 1 Batch Loss: -0.893 | Epoch Avg Loss: -0.893
Epoch 0097 | 1 Batch Loss: -0.898 | Epoch Avg Loss: -0.898
Epoch 0098 | 1 Batch Loss: -0.882 | Epoch Avg Loss: -0.897
Epoch 0099 | 1 Batch Loss: -0.899 | Epoch Avg Loss: -0.901
Epoch 0100 | 1 Batch Loss: -0.906 | Epoch Avg Loss: -0.904
Epoch 0101 | 1 Batch Loss: -0.895 | Epoch Avg Loss: -0.903
Epoch 0102 | 1 Batch Loss: -0.912 | Epoch Avg Loss: -0.907
Epoch 0103 | 1 Batch Loss: -0.893 | Epoch Avg Loss: -0.897
Epoch 0104 | 1 Batch Loss: -0.904 | Epoch Avg Loss: -0.907
Epoch 0105 | 1 Batch Loss: -0.909 | Epoch Avg Loss: -0.903
Epoch 0106 | 1 Batch Loss: -0.914 | Epoch Avg Loss: -0.906
Epoch 0107 | 1 Batch Loss: -0.922 | Epoch Avg Loss: -0.905
Epoch 0108 | 1 Batch Loss: -0.891 | Epoch Avg Loss: -0.908
Epoch 0109 | 1 Batch Loss: -0.896 | Epoch Avg Loss: -0.907
Epoch 0110 | 1 Batch Loss: -0.899 | Epoch Avg Loss: -0.905
Epoch 0111 | 1 Batch Loss: -0.912 | Epoch Avg Loss: -0.904
Epoch 0112 | 1 Batch Loss: -0.916 | Epoch Avg Loss: -0.914
Epoch 0113 | 1 Batch Loss: -0.897 | Epoch Avg Loss: -0.907
Epoch 0114 | 1 Batch Loss: -0.913 | Epoch Avg Loss: -0.910
Epoch 0115 | 1 Batch Loss: -0.888 | Epoch Avg Loss: -0.912
Epoch 0116 | 1 Batch Loss: -0.919 | Epoch Avg Loss: -0.910
Epoch 0117 | 1 Batch Loss: -0.906 | Epoch Avg Loss: -0.909
